mp_id,sr_no,house,state,mp_name,membership_type,tenure,constituency,allocated_limit,source
RS041,41,Rajya Sabha,Kerala,Shri A. A. Rahim,Elected MP,2022-2028,Rajya Sabha — Kerala,220563957.11,REAL_GOVT_PDF
RS042,42,Rajya Sabha,Kerala,Shri Abdul Wahab,Elected MP,2021-2027,Rajya Sabha — Kerala,310898953.29,REAL_GOVT_PDF
RS043,43,Rajya Sabha,Jharkhand,Shri Aditya Prasad,Elected MP,2022-2028,Rajya Sabha — Jharkhand,227628508.2,REAL_GOVT_PDF
RS044,44,Rajya Sabha,Karnataka,Shri Ajay Makan,Elected MP,2024-2030,Rajya Sabha — Karnataka,147000000.0,REAL_GOVT_PDF
RS045,45,Rajya Sabha,Bihar,Shri Akhilesh Prasad Singh,Elected MP,2024-2030,Rajya Sabha — Bihar,186200000.0,REAL_GOVT_PDF
RS046,46,Rajya Sabha,Uttar Pradesh,Shri Amar Pal Maurya,Elected MP,2024-2030,Rajya Sabha — Uttar Pradesh,147000000.0,REAL_GOVT_PDF
RS047,47,Rajya Sabha,Telangana,Shri Anil Kumar Yadav Mandadi,Elected MP,2024-2030,Rajya Sabha — Telangana,147000000.0,REAL_GOVT_PDF
RS048,48,Rajya Sabha,Himachal Pradesh,Shri Anurag Sharma,Elected MP,2026-2032,Rajya Sabha — Himachal Pradesh,49000000.0,REAL_GOVT_PDF
RS049,49,Rajya Sabha,Uttar Pradesh,Shri Arun Singh,Elected MP,2020-2026,Rajya Sabha — Uttar Pradesh,223492764.11,REAL_GOVT_PDF
RS050,50,Rajya Sabha,Madhya Pradesh,Shri Ashok Singh,Elected MP,2024-2030,Rajya Sabha — Madhya Pradesh,147000000.0,REAL_GOVT_PDF
RS051,51,Rajya Sabha,Maharashtra,Shri Ashokrao Shankarrao Chavan,Elected MP,2024-2030,Rajya Sabha — Maharashtra,147000000.0,REAL_GOVT_PDF
RS052,52,Rajya Sabha,Odisha,Shri Ashwini Vaishnaw,Elected MP,2024-2030,Rajya Sabha — Odisha,265563957.11,REAL_GOVT_PDF
RS053,53,Rajya Sabha,Telangana,Shri B. Parthasaradhi Reddy,Elected MP,2022-2028,Rajya Sabha — Telangana,244365104.0,REAL_GOVT_PDF
RS054,54,Rajya Sabha,Uttar Pradesh,Shri B.L. Verma,Elected MP,2020-2026,Rajya Sabha — Uttar Pradesh,196063957.11,REAL_GOVT_PDF
RS055,55,Rajya Sabha,Gujarat,Shri Babubhai Jesangbhai Desai,Elected MP,2023-2029,Rajya Sabha — Gujarat,171500000.0,REAL_GOVT_PDF
RS056,56,Rajya Sabha,Uttar Pradesh,Shri Baburam Nishad,Elected MP,2022-2028,Rajya Sabha — Uttar Pradesh,196063957.11,REAL_GOVT_PDF
RS057,57,Rajya Sabha,Jharkhand,Shri Baidyanath Ram,Elected MP,2026-2032,Rajya Sabha — Jharkhand,49000000.0,REAL_GOVT_PDF
RS058,58,Rajya Sabha,Madhya Pradesh,Shri Balyogi Umeshnath,Elected MP,2024-2030,Rajya Sabha — Madhya Pradesh,147000000.0,REAL_GOVT_PDF
RS059,59,Rajya Sabha,Madhya Pradesh,Shri Banshilal Gurjar,Elected MP,2024-2030,Rajya Sabha — Madhya Pradesh,147000000.0,REAL_GOVT_PDF
RS060,60,Rajya Sabha,Andhra Pradesh,Shri Bhashyam Rama Krishna,Elected MP,2026-2032,Rajya Sabha — Andhra Pradesh,49000000.0,REAL_GOVT_PDF
RS061,61,Rajya Sabha,Assam,Shri Birendra Prasad Baishya,Elected MP,2025-2031,Rajya Sabha — Assam,98000000.0,REAL_GOVT_PDF
RS062,62,Rajya Sabha,Uttar Pradesh,Shri Brij Lal,Elected MP,2020-2026,Rajya Sabha — Uttar Pradesh,196063957.11,REAL_GOVT_PDF
RS063,63,Rajya Sabha,Kerala,Shri C. Sadanandan Master,Nominated MP,2025-2031,Rajya Sabha — Kerala,73500000.0,REAL_GOVT_PDF
RS064,64,Rajya Sabha,Maharashtra,Shri Chandrakant Damodar Handore,Elected MP,2024-2030,Rajya Sabha — Maharashtra,147000000.0,REAL_GOVT_PDF
RS065,65,Rajya Sabha,Jammu And Kashmir,Shri Chowdry Mohammad Ramzan,Elected MP,2025-2031,Rajya Sabha — Jammu And Kashmir,73500000.0,REAL_GOVT_PDF
RS066,66,Rajya Sabha,Tamil Nadu,Shri Christopher Manickam,Elected MP,2026-2032,Rajya Sabha — Tamil Nadu,49356476.5,REAL_GOVT_PDF
RS067,67,Rajya Sabha,Rajasthan,Shri Chunnilal Garasiya,Elected MP,2024-2030,Rajya Sabha — Rajasthan,147000000.0,REAL_GOVT_PDF
RS068,68,Rajya Sabha,Tamil Nadu,Shri Constandine Ravindran,Elected MP,2026-2032,Rajya Sabha — Tamil Nadu,49356476.5,REAL_GOVT_PDF
RS069,69,Rajya Sabha,Telangana,Shri Damodar Rao Divakonda,Elected MP,2022-2028,Rajya Sabha — Telangana,239919406.11,REAL_GOVT_PDF
RS070,70,Rajya Sabha,Odisha,Shri Debashish Samantaray,Elected MP,2026-2030,Rajya Sabha — Odisha,23800006.0,REAL_GOVT_PDF
RS071,71,Rajya Sabha,West Bengal,Shri Derek O' Brien,Elected MP,2023-2029,Rajya Sabha — West Bengal,171500000.0,REAL_GOVT_PDF
RS072,72,Rajya Sabha,Chhattisgarh,Shri Devendra Pratap Singh,Elected MP,2024-2030,Rajya Sabha — Chhattisgarh,170837637.76,REAL_GOVT_PDF
RS073,73,Rajya Sabha,Maharashtra,Shri Dhananjay Bhimrao Mahadik,Elected MP,2022-2028,Rajya Sabha — Maharashtra,220383643.11,REAL_GOVT_PDF
RS074,74,Rajya Sabha,Odisha,Shri Dilip Kumar Ray,Elected MP,2026-2032,Rajya Sabha — Odisha,49000000.0,REAL_GOVT_PDF
RS075,75,Rajya Sabha,Sikkim,Shri Dorjee Tshering Lepcha,Elected MP,2024-2030,Rajya Sabha — Sikkim,150170726.11,REAL_GOVT_PDF
RS076,76,Rajya Sabha,Karnataka,Shri G.C. Chandrashekhar,Elected MP,2024-2030,Rajya Sabha — Karnataka,147000000.0,REAL_GOVT_PDF
RS077,77,Rajya Sabha,Rajasthan,Shri Ghanshyam Tiwari,Elected MP,2022-2028,Rajya Sabha — Rajasthan,196063957.11,REAL_GOVT_PDF
RS078,78,Rajya Sabha,Andhra Pradesh,Shri Golla Baburao,Elected MP,2024-2030,Rajya Sabha — Andhra Pradesh,147000000.0,REAL_GOVT_PDF
RS079,79,Rajya Sabha,Gujarat,Shri Govindbhai Laljibhai Dholakia,Elected MP,2024-2030,Rajya Sabha — Gujarat,147000000.0,REAL_GOVT_PDF
RS080,80,Rajya Sabha,Jammu And Kashmir,Shri Gulam Ali,Nominated MP,2022-2028,Rajya Sabha — Jammu And Kashmir,196063957.11,REAL_GOVT_PDF
RS081,81,Rajya Sabha,Jammu And Kashmir,Shri Gurwinder Singh Oberoi,Elected MP,2025-2031,Rajya Sabha — Jammu And Kashmir,73500000.0,REAL_GOVT_PDF
RS082,82,Rajya Sabha,Punjab,Shri Harbhajan Singh,Elected MP,2022-2028,Rajya Sabha — Punjab,220984094.27,REAL_GOVT_PDF
RS083,83,Rajya Sabha,Uttar Pradesh,Shri Hardeep Singh Puri,Elected MP,2020-2026,Rajya Sabha — Uttar Pradesh,226801049.11,REAL_GOVT_PDF
RS084,84,Rajya Sabha,Kerala,Shri Haris Beeran,Elected MP,2024-2030,Rajya Sabha — Kerala,122500000.0,REAL_GOVT_PDF
RS085,85,Rajya Sabha,Himachal Pradesh,Shri Harsh Mahajan,Elected MP,2024-2030,Rajya Sabha — Himachal Pradesh,147000000.0,REAL_GOVT_PDF
RS086,86,Rajya Sabha,West Bengal,Shri Harsh Vardhan Shringla,Nominated MP,2025-2031,Rajya Sabha — West Bengal,73500000.0,REAL_GOVT_PDF
RS087,87,Rajya Sabha,Tamil Nadu,Shri I.S. Inbadurai,Elected MP,2025-2031,Rajya Sabha — Tamil Nadu,89248285.42,REAL_GOVT_PDF
RS088,88,Rajya Sabha,Tamil Nadu,Shri Ilaiyaraaja,Nominated MP,2022-2028,Rajya Sabha — Tamil Nadu,220563957.11,REAL_GOVT_PDF
RS089,89,Rajya Sabha,Maharashtra,Shri Imran Pratapgarhi,Elected MP,2022-2028,Rajya Sabha — Maharashtra,196000000.0,REAL_GOVT_PDF
RS090,90,Rajya Sabha,Gujarat,Shri Jagat Prakash Nadda,Elected MP,2024-2030,Rajya Sabha — Gujarat,147000000.0,REAL_GOVT_PDF
RS091,91,Rajya Sabha,Karnataka,Shri Jaggesh,Elected MP,2022-2028,Rajya Sabha — Karnataka,196063957.11,REAL_GOVT_PDF
RS092,92,Rajya Sabha,Karnataka,Shri Jairam Ramesh,Elected MP,2022-2028,Rajya Sabha — Karnataka,220563957.11,REAL_GOVT_PDF
RS093,93,Rajya Sabha,Meghalaya,Shri James Pangsang Kongkal Sangma,Elected MP,2026-2032,Rajya Sabha — Meghalaya,49000000.0,REAL_GOVT_PDF
RS094,94,Rajya Sabha,Uttar Pradesh,Shri Javed Ali Khan,Elected MP,2022-2028,Rajya Sabha — Uttar Pradesh,196063957.11,REAL_GOVT_PDF
RS095,95,Rajya Sabha,Uttar Pradesh,Shri Jayant Chaudhary,Elected MP,2022-2028,Rajya Sabha — Uttar Pradesh,214074707.67000002,REAL_GOVT_PDF
RS096,96,Rajya Sabha,Assam,Shri Jogen Mohan,Elected MP,2026-2032,Rajya Sabha — Assam,49000000.0,REAL_GOVT_PDF
RS097,97,Rajya Sabha,Kerala,Shri Jose K. Mani,Elected MP,2024-2030,Rajya Sabha — Kerala,122500000.0,REAL_GOVT_PDF
RS098,98,Rajya Sabha,Tamil Nadu,Shri K.R.N. Rajeshkumar,Elected MP,2022-2028,Rajya Sabha — Tamil Nadu,238513975.53,REAL_GOVT_PDF
RS099,99,Rajya Sabha,Tamil Nadu,Shri Kamal Haasan,Elected MP,2025-2031,Rajya Sabha — Tamil Nadu,89248285.42,REAL_GOVT_PDF
RS100,100,Rajya Sabha,Assam,Shri Kanad Purkayastha,Elected MP,2025-2031,Rajya Sabha — Assam,98000000.0,REAL_GOVT_PDF
RS101,101,Rajya Sabha,Uttar Pradesh,Shri Kapil Sibal,Elected MP,2022-2028,Rajya Sabha — Uttar Pradesh,196063957.11,REAL_GOVT_PDF
RS102,102,Rajya Sabha,Haryana,Shri Karamvir Singh Singh Boudh,Elected MP,2026-2032,Rajya Sabha — Haryana,49000000.0,REAL_GOVT_PDF
RS103,103,Rajya Sabha,Haryana,Shri Kartikeya Sharma,Elected MP,2022-2028,Rajya Sabha — Haryana,196000000.0,REAL_GOVT_PDF
RS104,104,Rajya Sabha,Gujarat,Shri Kesridevsinh Jhala,Elected MP,2023-2029,Rajya Sabha — Gujarat,171500000.0,REAL_GOVT_PDF
RS105,105,Rajya Sabha,Mizoram,Shri Khiangte Laltluangkima,Elected MP,2026-2032,Rajya Sabha — Mizoram,24500000.0,REAL_GOVT_PDF
RS106,106,Rajya Sabha,Bihar,Shri Khiru Mahto,Elected MP,2022-2028,Rajya Sabha — Bihar,235770091.81,REAL_GOVT_PDF
RS107,107,Rajya Sabha,Tamil Nadu,Shri L. K. Sudhish,Elected MP,2026-2032,Rajya Sabha — Tamil Nadu,49356476.5,REAL_GOVT_PDF
RS108,108,Rajya Sabha,Karnataka,Shri Lahar Singh Siroya,Elected MP,2022-2028,Rajya Sabha — Karnataka,206278088.11,REAL_GOVT_PDF
RS109,109,Rajya Sabha,Andhra Pradesh,Shri Lingamaneni Ramesh,Elected MP,2026-2032,Rajya Sabha — Andhra Pradesh,49000000.0,REAL_GOVT_PDF
RS110,110,Rajya Sabha,Karnataka,Shri M. Nagaraja,Elected MP,2026-2032,Rajya Sabha — Karnataka,49000000.0,REAL_GOVT_PDF
RS111,111,Rajya Sabha,Rajasthan,Shri Madan Rathore,Elected MP,2024-2030,Rajya Sabha — Rajasthan,147000000.0,REAL_GOVT_PDF
RS112,112,Rajya Sabha,Uttarakhand,Shri Mahendra Bhatt,Elected MP,2024-2030,Rajya Sabha — Uttarakhand,147000000.0,REAL_GOVT_PDF
RS113,113,Rajya Sabha,Madhya Pradesh,Shri Mahesh Kewat,Elected MP,2026-2032,Rajya Sabha — Madhya Pradesh,49000000.0,REAL_GOVT_PDF
RS114,114,Rajya Sabha,Karnataka,Shri Mallikarjun Kharge,Elected MP,2026-2032,Rajya Sabha — Karnataka,49063957.11,REAL_GOVT_PDF
RS115,115,Rajya Sabha,Bihar,Shri Manan Kumar Mishra,Elected MP,2024-2028,Rajya Sabha — Bihar,235263957.11,REAL_GOVT_PDF
RS116,116,Rajya Sabha,Odisha,Shri Manas Ranjan Mangaraj,Elected MP,2022-2028,Rajya Sabha — Odisha,196063957.11,REAL_GOVT_PDF
RS117,117,Rajya Sabha,Odisha,Shri Manmohan Samal,Elected MP,2026-2032,Rajya Sabha — Odisha,49000000.0,REAL_GOVT_PDF
RS118,118,Rajya Sabha,Karnataka,Shri Mansoor Ali Khan,Elected MP,2026-2032,Rajya Sabha — Karnataka,49000000.0,REAL_GOVT_PDF
RS119,119,Rajya Sabha,Andhra Pradesh,Shri Masthan Rao Yadav Beedha,Elected MP,2024-2028,Rajya Sabha — Andhra Pradesh,171296045.11,REAL_GOVT_PDF
RS120,120,Rajya Sabha,Gujarat,Shri Mayankkumar Nayak,Elected MP,2024-2030,Rajya Sabha — Gujarat,147000000.0,REAL_GOVT_PDF
RS121,121,Rajya Sabha,Andhra Pradesh,Shri Meda Raghunadha Reddy,Elected MP,2024-2030,Rajya Sabha — Andhra Pradesh,147000000.0,REAL_GOVT_PDF
RS122,122,Rajya Sabha,Maharashtra,Shri Milind Murli Deora,Elected MP,2024-2030,Rajya Sabha — Maharashtra,147000000.0,REAL_GOVT_PDF
RS123,123,Rajya Sabha,Uttar Pradesh,Shri Mithlesh Kumar,Elected MP,2022-2028,Rajya Sabha — Uttar Pradesh,196063957.11,REAL_GOVT_PDF
RS124,124,Rajya Sabha,West Bengal,Shri Mohammed Nadimul Haque,Elected MP,2024-2030,Rajya Sabha — West Bengal,147000000.0,REAL_GOVT_PDF
RS125,125,Rajya Sabha,Rajasthan,Shri Mukul Wasnik,Elected MP,2022-2028,Rajya Sabha — Rajasthan,196063957.11,REAL_GOVT_PDF
RS126,126,Rajya Sabha,West Bengal,Shri Nagendra Ray,Elected MP,2023-2029,Rajya Sabha — West Bengal,171500000.0,REAL_GOVT_PDF
RS127,127,Rajya Sabha,Delhi,Shri Narain Dass Gupta,Elected MP,2024-2030,Rajya Sabha — Delhi,160837070.0,REAL_GOVT_PDF
RS128,128,Rajya Sabha,Karnataka,Shri Narayanasa K. Bhandage,Elected MP,2024-2030,Rajya Sabha — Karnataka,147450000.0,REAL_GOVT_PDF
RS129,129,Rajya Sabha,Uttarakhand,Shri Naresh Bansal,Elected MP,2020-2026,Rajya Sabha — Uttarakhand,222043184.71,REAL_GOVT_PDF
RS130,130,Rajya Sabha,Uttar Pradesh,Shri Naveen Jain,Elected MP,2024-2030,Rajya Sabha — Uttar Pradesh,147000000.0,REAL_GOVT_PDF
RS131,131,Rajya Sabha,Rajasthan,Shri Neeraj Dangi,Elected MP,2026-2032,Rajya Sabha — Rajasthan,49000000.0,REAL_GOVT_PDF
RS132,132,Rajya Sabha,Uttar Pradesh,Shri Neeraj Shekhar,Elected MP,2020-2026,Rajya Sabha — Uttar Pradesh,236483662.11,REAL_GOVT_PDF
RS133,133,Rajya Sabha,Maharashtra,Shri Nitin Laxmanrao Jadhav Patil,Elected MP,2024-2028,Rajya Sabha — Maharashtra,122500000.0,REAL_GOVT_PDF
RS134,134,Rajya Sabha,Bihar,Shri Nitin Nabin,Elected MP,2026-2032,Rajya Sabha — Bihar,49000000.0,REAL_GOVT_PDF
RS135,135,Rajya Sabha,Tamil Nadu,Shri P. Chidambaram,Elected MP,2022-2028,Rajya Sabha — Tamil Nadu,236312242.52,REAL_GOVT_PDF
RS136,136,Rajya Sabha,Kerala,Shri P. P. Suneer,Elected MP,2024-2030,Rajya Sabha — Kerala,122500000.0,REAL_GOVT_PDF
RS137,137,Rajya Sabha,Tamil Nadu,Shri P. Wilson,Elected MP,2025-2031,Rajya Sabha — Tamil Nadu,89248285.42,REAL_GOVT_PDF
RS138,138,Rajya Sabha,Assam,Shri Pabitra Margherita,Elected MP,2022-2028,Rajya Sabha — Assam,220563957.11,REAL_GOVT_PDF
RS139,139,Rajya Sabha,Andhra Pradesh,Shri Paka Venkata Satyanarayana,Elected MP,2025-2028,Rajya Sabha — Andhra Pradesh,98000000.0,REAL_GOVT_PDF
RS140,140,Rajya Sabha,Maharashtra,Shri Parth Ajit Pawar,Elected MP,2026-2032,Rajya Sabha — Maharashtra,49000000.0,REAL_GOVT_PDF
RS141,141,Rajya Sabha,Karnataka,Shri Pawan Khera,Elected MP,2026-2032,Rajya Sabha — Karnataka,49000000.0,REAL_GOVT_PDF
RS142,142,Rajya Sabha,Jharkhand,Shri Pradip Kumar Varma,Elected MP,2024-2030,Rajya Sabha — Jharkhand,178564551.09,REAL_GOVT_PDF
RS143,143,Rajya Sabha,Maharashtra,Shri Praful Patel,Elected MP,2024-2030,Rajya Sabha — Maharashtra,147000000.0,REAL_GOVT_PDF
RS144,144,Rajya Sabha,West Bengal,Shri Prakash Chik Baraik,Elected MP,2026-2029,Rajya Sabha — West Bengal,49662892.0,REAL_GOVT_PDF
RS145,145,Rajya Sabha,Assam,Shri Pramod Boro,Elected MP,2026-2032,Rajya Sabha — Assam,49000000.0,REAL_GOVT_PDF
RS146,146,Rajya Sabha,Rajasthan,Shri Pramod Tiwari,Elected MP,2022-2028,Rajya Sabha — Rajasthan,196063957.11,REAL_GOVT_PDF
RS147,147,Rajya Sabha,Tamil Nadu,Shri Praveen Chakravarthy,Elected MP,2026-2028,Rajya Sabha — Tamil Nadu,49356476.5,REAL_GOVT_PDF
RS148,148,Rajya Sabha,Tamil Nadu,Shri R. Dharmar,Elected MP,2022-2028,Rajya Sabha — Tamil Nadu,260812242.52,REAL_GOVT_PDF
RS149,149,Rajya Sabha,Tamil Nadu,Shri R. Girirajan,Elected MP,2022-2028,Rajya Sabha — Tamil Nadu,236312242.52,REAL_GOVT_PDF
RS150,150,Rajya Sabha,Punjab,Shri Raghav Chadha,Elected MP,2022-2028,Rajya Sabha — Punjab,237229207.25,REAL_GOVT_PDF
RS151,151,Rajya Sabha,West Bengal,Shri Rajeev Kumar,Elected MP,2026-2032,Rajya Sabha — West Bengal,49000000.0,REAL_GOVT_PDF
RS152,152,Rajya Sabha,Chhattisgarh,Shri Rajeev Shukla,Elected MP,2022-2028,Rajya Sabha — Chhattisgarh,271174394.23,REAL_GOVT_PDF
RS153,153,Rajya Sabha,Gujarat,Shri Rajesh Parmanand Shukla,Elected MP,2026-2032,Rajya Sabha — Gujarat,49000000.0,REAL_GOVT_PDF
RS154,154,Rajya Sabha,Tripura,Shri Rajib Bhattacharjee,Elected MP,2024-2028,Rajya Sabha — Tripura,122500000.0,REAL_GOVT_PDF
RS155,155,Rajya Sabha,Punjab,Shri Rajinder Gupta,Elected MP,2025-2028,Rajya Sabha — Punjab,49000000.0,REAL_GOVT_PDF
RS156,156,Rajya Sabha,Madhya Pradesh,Shri Rajneesh Kumar Agrawal,Elected MP,2026-2032,Rajya Sabha — Madhya Pradesh,49000000.0,REAL_GOVT_PDF
RS157,157,Rajya Sabha,Bihar,Shri Ram Nath Thakur,Elected MP,2026-2032,Rajya Sabha — Bihar,65673638.730000004,REAL_GOVT_PDF
RS158,158,Rajya Sabha,Maharashtra,Shri Ramdas Bandu Athawale,Elected MP,2026-2032,Rajya Sabha — Maharashtra,49000000.0,REAL_GOVT_PDF
RS159,159,Rajya Sabha,Uttar Pradesh,Shri Ramji,Elected MP,2020-2026,Rajya Sabha — Uttar Pradesh,174518577.11,REAL_GOVT_PDF
RS160,160,Rajya Sabha,Uttar Pradesh,Shri Ramji Lal Suman,Elected MP,2024-2030,Rajya Sabha — Uttar Pradesh,147000000.0,REAL_GOVT_PDF
RS161,161,Rajya Sabha,Maharashtra,Shri Ramrao Sakharam Wadkute,Elected MP,2026-2032,Rajya Sabha — Maharashtra,49000000.0,REAL_GOVT_PDF
RS162,162,Rajya Sabha,Rajasthan,Shri Randeep Singh Surjewala,Elected MP,2022-2028,Rajya Sabha — Rajasthan,196063957.11,REAL_GOVT_PDF
RS163,163,Rajya Sabha,Uttar Pradesh,Shri Ratanjit Pratap Narain Singh,Elected MP,2024-2030,Rajya Sabha — Uttar Pradesh,147000000.0,REAL_GOVT_PDF
RS164,164,Rajya Sabha,Telangana,Shri Ravi Chandra Vaddiraju,Elected MP,2024-2030,Rajya Sabha — Telangana,152732534.11,REAL_GOVT_PDF
RS165,165,Rajya Sabha,Assam,Shri Rwngwra Narzary,Elected MP,2022-2028,Rajya Sabha — Assam,220563957.11,REAL_GOVT_PDF
