mp_id,mp_name,state,constituency,allocated_limit
LS107,Charanjit Singh Channi,Punjab,Jalandhar(Sc),147000000.0
LS108,Chavan Vasantrao Balwantrao,Maharashtra,,
LS109,Chhatra Pal Singh Gangwar,Uttar Pradesh,Bareilly,147000000.0
LS110,Chhatrapati Shahu Shahaji,Maharashtra,Kolhapur,147000000.0
LS111,Chhotelal,Uttar Pradesh,Robertsganj(Sc),147000000.0
LS112,Chintamani Maharaj,Chhattisgarh,Sarguja(St),147000000.0
LS113,Chirag Paswan,Bihar,Hajipur(Sc),147000000.0
LS114,Cn Annadurai,Tamil Nadu,Tiruvannamalai,148579509.11
LS115,D M Kathir Anand,Tamil Nadu,Vellore,160196941.11
LS116,D Ravikumar,Tamil Nadu,Viluppuram(Sc),197598306.11
LS117,Daggubati Purandeshwari,Andhra Pradesh,Rajahmundry,147000000.0
LS118,Daggumalla Prasada Rao,Andhra Pradesh,Chittoor,147000000.0
LS119,Damodar Agarwal,Rajasthan,Bhilwara,147000000.0
LS120,Daroga Prasad Saroj,Uttar Pradesh,Lalganj (Sc),147000000.0
LS121,Darshan Singh Choudhary,Madhya Pradesh,Hoshangabad,147000000.0
LS122,Deepender Singh Hooda,Haryana,Rohtak,147000000.0
LS123,Devendra Alias Bhole Singh,Uttar Pradesh,Akbarpur,147000000.0
LS124,Devesh Chandra Thakur,Bihar,Sitamarhi,163809205.11
LS125,Devesh Shakya,Uttar Pradesh,Etah,147000000.0
LS126,Devusinh Jesingbhai Chauhan,Gujarat,Kheda,147000000.0
LS127,Dhairyasheel Sambhajirao Mane,Maharashtra,Hatkanangle,147000000.0
LS128,Dhanorkar Pratibha Suresh Alias Balubhau,Maharashtra,Chandrapur,147000000.0
LS129,Dharmendra Pradhan,Odisha,Sambalpur,147000000.0
LS130,Dharmendra Yadav,Uttar Pradesh,Azamgarh,147000000.0
LS131,Dhaval Laxmanbhai Patel,Gujarat,Valsad(St),147000000.0
LS132,Dileshwar Kamait,Bihar,Supaul,150450930.89
LS133,Dilip Saikia,Assam,Darrang-Udalguri,147000000.0
LS134,Dinesh Chandra Yadav,Bihar,Madhepura,150070866.11
LS135,Dineshbhai Makwana,Gujarat,Ahmedabad West(Sc),160434965.11
LS136,Dr Byreddy Shabari,Andhra Pradesh,Nandyal,150675889.11
LS137,Dr C N Manjunath,Karnataka,Bangalore Rural,147000000.0
LS138,Dr Chandra Sekhar Pemmasani,Andhra Pradesh,Guntur,159774113.11
LS139,Dr Dharamvira Gandhi,Punjab,Patiala,147000000.0
LS140,Dr Jayanta Kumar Roy,West Bengal,Jalpaiguri(Sc),147000000.0
LS141,Dr Kalge Shivaji Bandappa,Maharashtra,Latur(Sc),147000000.0
LS142,Dr Mohammad Jawed,Bihar,Kishanganj,148669229.11
LS143,Dr Rajkumar Sangwan,Uttar Pradesh,Baghpat,147000000.0
LS144,Dr Rani Sri Kumar,Tamil Nadu,Tenkasi(Sc),153060922.82
LS145,Dr Shashi Tharoor,Kerala,Thiruvananthapuram,147000000.0
LS146,Dr Sukanta Majumdar,West Bengal,Balurghat,157085364.9
LS147,Dr. Hemang Joshi,Gujarat,Vadodara,147000000.0
LS148,Dr. Hemant Vishnu Savara,Maharashtra,Palghar(St),147000000.0
LS149,Dr. Kirsan Namdeo,Maharashtra,Gadchiroli-Chimur(St),147000000.0
LS150,Dr. Lata Wankhede,Madhya Pradesh,Sagar,147000000.0
LS151,Dr. M.P Abdussamad Samadani,Kerala,Ponnani,170434031.11
LS152,Dr. Mansukh Mandaviya,Gujarat,Porbandar,147000000.0
LS153,Dr. Prabha Mallikarjun,Karnataka,Davanagere,147000000.0
LS154,Dr. Pradeep Kumar Panigrahy,Odisha,Berhampur,147000000.0
LS155,Dr. Prashant Yadaorao Padole,Maharashtra,Bhandara-Gondiya,159680283.39
LS156,Dr. Raj Kumar Chabbewal,Punjab,Hoshiarpur(Sc),147000000.0
LS157,Dr. Rajesh Mishra,Madhya Pradesh,Sidhi,262724510.35
LS158,Dr. S P Singh,Uttar Pradesh,Pratapgarh,147000000.0
LS159,Dr. Sharmila Sarkar,West Bengal,Bardhaman Purba(Sc),147000000.0
LS160,Dr.K.Sudhakar,Karnataka,Chikballapur,147000000.0
LS161,Dr.Mallu Ravi,Telangana,Nagarkurnool(Sc),147000000.0
LS162,Dulu Mahato,Jharkhand,Dhanbad,147000000.0
LS163,Durai Vaiko,Tamil Nadu,Tiruchirappalli,147000000.0
LS164,Durga Das Uikey,Madhya Pradesh,Betul(St),151569502.91
LS165,Dushyant Singh,Rajasthan,Jhalawar-Baran,147000000.0
LS166,E. Tukaram,Karnataka,Bellary(St),147000000.0
LS167,E.T. Mohammed Basheer,Kerala,Malappuram,163895872.11
LS168,Eatala Rajender,Telangana,Malkajgiri,327477390.86
LS169,Eswarasamy K,Tamil Nadu,Pollachi,162315106.11
LS170,Faggan Singh Kulaste,Madhya Pradesh,Mandla(St),151861648.41
LS171,G. Kumar Naik,Karnataka,Raichur(St),147000000.0
LS172,Gaikwad Varsha Eknath,Maharashtra,Mumbai North-Central,147000000.0
LS173,Gajendra Singh Patel,Madhya Pradesh,Khargone(St),147000000.0
LS174,Gajendra Singh Shekhawat,Rajasthan,Jodhpur,147000000.0
LS175,Ganapathy Rajkumar P,Tamil Nadu,Coimbatore,147370490.11
LS176,Ganesan Selvam,Tamil Nadu,Kancheepuram(Sc),186508749.11
LS177,Ganesh Singh,Madhya Pradesh,Satna,147000000.0
LS178,Gaurav Gogoi,Assam,Jorhat,147000000.0
LS179,Geniben Nagaji Thakor,Gujarat,Banaskantha,147000000.0
LS180,Giridhari Yadav,Bihar,Banka,147000000.0
LS181,Giriraj Singh,Bihar,Begusarai,147000000.0
LS182,Gm Harish Balayogi,Andhra Pradesh,Amalapuram(Sc),147000000.0
LS183,Godam Nagesh,Telangana,Adilabad(St),147000000.0
LS184,Gopinath K,Tamil Nadu,Krishnagiri,147000000.0
LS185,Govind Makthappa Karjol,Karnataka,Chitradurga(Sc),147000000.0
LS186,Gumma Thanuja Rani,Andhra Pradesh,Araku(St),149458905.11
LS187,Gurmeet Singh Meet Hayer,Punjab,Sangrur,147000000.0
LS188,Gyaneshwar Patil,Madhya Pradesh,Khandwa,155690684.77
LS189,H.D. Kumaraswamy,Karnataka,Mandya,147000000.0
LS190,Harendra Singh Malik,Uttar Pradesh,Muzaffarnagar,147000000.0
LS191,Haribhai Patel,Gujarat,Mahesana,147000000.0
LS192,Harish Chandra Meena,Rajasthan,Tonk-Sawai Madhopur,147000000.0
LS193,Harsh Malhotra,Delhi,East Delhi,147134131.0
LS194,Hasmukh Bhai Soma Bhai Patel,Gujarat,Ahmedabad East,147000000.0
LS195,Imran Masood,Uttar Pradesh,Saharanpur,147000000.0
LS196,Indra Hang Subba,Sikkim,Sikkim,152003923.11
LS197,Iqra Choudhary,Uttar Pradesh,Kairana,147000000.0
LS198,Isha Khan Choudhury,West Bengal,Maldaha Dakshin,147000000.0
LS199,Jagadish Chandra Barma Basunia,West Bengal,Coochbehar(Sc),168604641.11
LS200,Jagadish Shettar,Karnataka,Belgaum,147000000.0
LS201,Jagannath Sarkar,West Bengal,Ranaghat(Sc),147000000.0
LS202,Jagdambika Pal,Uttar Pradesh,Domariyaganj,160643957.11
LS203,Jai Parkash,Haryana,Hisar,147000000.0
LS204,Jai Prakash,Uttar Pradesh,Hardoi (Sc),147000000.0
LS205,Janardan Mishra,Madhya Pradesh,Rewa,147000000.0
LS206,Jashubhai Bhilubhai Rathva,Gujarat,Chhota Udaipur(St),147000000.0
LS207,Jaswantsinh Sumanbhai Bhabhor,Gujarat,Dahod(St),147000000.0
LS208,Jitan Ram Manjhi,Bihar,Gaya (Sc),147000000.0
LS209,Jitendra Kumar Dohare,Uttar Pradesh,Etawah(Sc),188747306.26
LS210,Jitendra Singh,Jammu And Kashmir,Udhampur,147000000.0
LS211,Jitin Prasada,Uttar Pradesh,Pilibhit,147000000.0
LS212,Joba Majhi,Jharkhand,Singhbhum(St),147000000.0
LS213,Joyanta Basumatary,Assam,Kokrajhar (St),147000000.0
LS214,June Maliah,West Bengal,Medinipur,147000000.0
LS215,Jyotiraditya M. Scindia,Madhya Pradesh,Guna,147000000.0
LS216,Jyotsna Charandas Mahant,Chhattisgarh,Korba,155153738.11
LS217,K E Prakash,Tamil Nadu,Erode,147000000.0
LS218,K Radhakrishnan,Kerala,Alathur(Sc),147000000.0
LS219,K Subbarayan,Tamil Nadu,Tiruppur,147000000.0
LS220,K. C Venugopal,Kerala,Alappuzha,147000000.0
LS221,K. Rajashekar Basavaraj Hitnal,Karnataka,Koppal,147000000.0
LS222,Kadiyam Kavya,Telangana,Warangel(Sc),147000000.0
LS223,Kakoli Ghosh Dastidar,West Bengal,Barasat,147000000.0
LS224,Kalaben Mohanbhai Delkar,Dadra And Nagar Haveli And Daman And Diu,,269500000.0
LS225,Kalanidhi Veeraswamy,Tamil Nadu,Chennai North,171500000.0
LS226,Kali Charan Munda,Jharkhand,Khunti(St),147000000.0
LS227,Kali Charan Singh,Jharkhand,Chatra,147000000.0
LS228,Kalipada Saren,West Bengal,Jhargram(St),147000000.0
LS229,Kalyan Banerjee,West Bengal,Sreerampur,147000000.0
LS230,Kalyan Vaijinathrao Kale,Maharashtra,Jalna,147000000.0
LS231,Kamakhya Prasad Tasa,Assam,Kaziranga,147000000.0
LS232,Kamaljeet Sehrawat,Delhi,West Delhi,147000000.0
LS233,Kamlesh Jangde,Chhattisgarh,Janjgir Champa(Sc),150384382.11
LS234,Kamlesh Paswan,Uttar Pradesh,Bansgaon(Sc),147000000.0
LS235,Kangana Ranaut,Himachal Pradesh,Mandi,147000000.0
LS236,Kani K Navas,Tamil Nadu,Ramanathapuram,147000000.0
LS237,Kanimozhi Karunanidhi,Tamil Nadu,Thoothukkudi,147000000.0
LS238,Kanwar Singh Tanwar,Uttar Pradesh,Amroha,147000000.0
LS239,Karan Bhushan Singh,Uttar Pradesh,Kaiserganj,147000000.0
LS240,Kartick Chandra Paul,West Bengal,Raiganj,202677986.56
LS241,Kaushalendra Kumar,Bihar,Nalanda,147000000.0
LS242,Khagen Murmu,West Bengal,Maldaha Uttar,147000000.0
LS243,Khalilur Rahaman,West Bengal,Jangipur,147000000.0
LS244,Kinjarapu Ram Mohan Naidu,Andhra Pradesh,Srikakulam,171200630.11
LS245,Kiren Rijiju,Arunachal Pradesh,Arunachal West,147000000.0
LS246,Kirti Vardhan Singh,Uttar Pradesh,Gonda,147000000.0
LS247,Kishan Reddy Gangapuram,Telangana,Secunderabad,147000000.0
LS248,Kishori Lal,Uttar Pradesh,Amethi,171500000.0
LS249,Konda Vishweshwar Reddy,Telangana,Chelvella,233721420.96
LS250,Kota Srinivas Poojary,Karnataka,Udupi Chikmagalur,147000000.0
LS251,Kripanath Mallah,Assam,Karimganj (Sc),147000000.0
LS252,Krishan Pal Gurjar,Haryana,Faridabad,147000000.0
LS253,Krishna Devi Shivshanker Patel,Uttar Pradesh,Banda,147000000.0
LS254,Krishna Prasad Tenneti,Andhra Pradesh,Bapatla,167796849.11
LS255,Kriti Devi Debbarman,Tripura,Tripura East(St),147000000.0
LS256,Kuldeep Indora,Rajasthan,Ganganagar(Sc),147000000.0
LS257,Kunduru Raghuveer,Telangana,Nalgonda,162952022.0
LS258,Lalji Verma,Uttar Pradesh,Ambedkar Nagar,147000000.0
LS259,Lavu Sri Krishna Devarayalu,Andhra Pradesh,Narasaraopet,174009663.11
LS260,Laxmikant Pappu Nishad,Uttar Pradesh,Sant Kabir Nagar,147000000.0
LS261,Lovely Anand,Bihar,Sheohar,147000000.0
LS262,Lumbaram,Rajasthan,Jalore,147000000.0
LS263,M. Mallesh Babu,Karnataka,Kolar(Sc),147065957.11
LS264,M.K. Vishnuprasad,Tamil Nadu,Cuddalore,147000000.0
LS265,Maddila Gurumoorthy,Andhra Pradesh,Tirupati(Sc),180399007.0
LS266,Madhavaneni Raghunandan Rao,Telangana,Medak,147000000.0
LS267,Magunta Sreenivasulu Reddy,Andhra Pradesh,Ongole,147000000.0
LS268,Mahendra Singh Solanky,Madhya Pradesh,Dewas(Sc),147000000.0
LS269,Mahesh Kashyap,Chhattisgarh,Bastar(St),147000000.0
LS270,Mahesh Sharma,Uttar Pradesh,Gautam Buddha Nagar,148816284.11
LS271,Mahima Kumari Mewar,Rajasthan,Rajsamand,183892143.0
LS272,Mala Rajya Laxmi Shah,Uttarakhand,Tehri Garhwal,147000000.0
LS273,Mala Roy,West Bengal,Kolkata Dakshin,147000000.0
LS274,Malaiyarasan D,Tamil Nadu,Kallakurichi,201599593.0
LS275,Malvika Devi,Odisha,Kalahandi,147000000.0
LS276,Malvinder Singh Kang,Punjab,Anandpur Sahib,147000000.0
LS277,Mani. A.,Tamil Nadu,Dharamapuri,164515071.11
LS278,Manickam Tagore B,Tamil Nadu,Virudhunagar,147000000.0
LS279,Manish Jaiswal,Jharkhand,Hazaribagh,147000000.0
LS280,Manish Tewari,Chandigarh,Chandigarh,178351443.75
LS281,Manju Sharma,Rajasthan,Jaipur,167082901.11
LS282,Manna Lal Rawat,Rajasthan,Udaipur(St),147000000.0
LS283,Manohar Lal,Haryana,Karnal,147000000.0
LS284,Manoj Kumar,Bihar,Sasaram(Sc),147000000.0
LS285,Manoj Tigga,West Bengal,Alipurduars(St),147000000.0
LS286,Manoj Tiwari,Delhi,North East Delhi,225843858.0
LS287,Mansukhbhai Dhanjibhai Vasava,Gujarat,Bharuch,147000000.0
LS288,Mian Altaf Ahmad,Jammu And Kashmir,Anantnag,147000000.0
LS289,Midhun Reddy,Andhra Pradesh,Rajampet,178951477.11
LS290,Misha Bharti,Bihar,Pataliputra,147000000.0
LS291,Mitesh Rameshbhai Bakabhai Patel,Gujarat,Anand,147000000.0
LS292,Mohamed Haneefa,Ladakh,Ladakh,161114542.0
LS293,Mohibbullah,Uttar Pradesh,Rampur,147000000.0
LS294,Mohite Patil Dhairyasheel Rajsinh,Maharashtra,Madha,195613601.7
LS295,Mr Gopal Jee Thakur,Bihar,Darbhanga,147000000.0
LS296,Ms Mahua Moitra,West Bengal,Krishnanagar,159865046.0
LS297,Muhammed Hamdullah Sayeed,Lakshadweep,Lakshadweep(St),153942460.41
LS298,Mukesh Rajput,Uttar Pradesh,Farrukhabad,147000000.0
LS299,Mukeshkumar Chandrakaant Dalal,Gujarat,Surat,147000000.0
LS300,Murari Lal Meena,Rajasthan,Dausa(St),147000000.0
LS301,Murasoli S,Tamil Nadu,Thanjavur,147000000.0
LS302,Murlidhar Mohol,Maharashtra,Pune,147000000.0
LS303,Naba Charan Majhi,Odisha,Mayurbhanj (St),147563957.11
LS304,Nalin Soren,Jharkhand,Dumka(St),147364097.11
LS305,Narayan Das Ahirwar,Uttar Pradesh,Jalaun(Sc),147000000.0
LS306,Narayan Tatu Rane,Maharashtra,Ratnagiri-Sindhudurg,147000000.0
LS307,Naresh Chandra Uttam Patel,Uttar Pradesh,Fatehpur,147000000.0
LS308,Naresh Ganpat Mhaske,Maharashtra,Thane,147000000.0
LS309,Naveen Jindal,Haryana,Kurukshetra,147000000.0
LS310,Neeraj Maurya,Uttar Pradesh,Aonla,147000000.0
LS311,Nilesh Dnyandev Lanke,Maharashtra,Ahmednagar,147000000.0
LS312,Nimuben Jayantibhai Bambhaniya,Gujarat,Bhavnagar,147000000.0
LS313,Nishikant Dubey,Jharkhand,Godda,147000000.0
LS314,Nitin Jairam Gadkari,Maharashtra,Nagpur,168195086.11
LS315,Nityanand Rai,Bihar,Ujjarpur,147000000.0
LS316,Om Birla,Rajasthan,Kota,163906956.6
LS317,Omprakash Bhupalsinh Alias Pawan Rajenimbalkar,Maharashtra,Osmanabad,184758519.11
LS318,P C Mohan,Karnataka,Bangalore Central,159995711.11
LS319,Pankaj Chowdhary,Uttar Pradesh,Maharajganj_Up,147000000.0
LS320,Parimal Suklabaidya,Assam,Silchar,148300157.11
LS321,Parshottambhai Rupala,Gujarat,Rajkot,147000000.0
LS322,Partha Bhowmick,West Bengal,Barrackpur,147000000.0
LS323,Parvatagouda Chandanagouda Gaddigoudar,Karnataka,Bagalkot,167541747.11
LS324,Patel Umeshbhai Babubhai,Dadra And Nagar Haveli And Daman And Diu,,245063957.0
LS325,Pathan Yusuf,West Bengal,Baharampur,147000000.0
LS326,Phani Bhusan Choudhury,Assam,Barpeta,147000000.0
LS327,Piyush Vedprakash Goyal,Maharashtra,Mumbai North,147000000.0
LS328,Prabhakar Reddy Vemireddy,Andhra Pradesh,Nellore(Sc),147000000.0
LS329,Prabhubhai Nagarbhai Vasava,Gujarat,Bardoli(St),147000000.0
LS330,Pradan Baruah,Assam,Lakhimpur,147000000.0
LS331,Pradeep Kumar Singh,Bihar,Araria,147000000.0
LS332,Pradeep Purohit,Odisha,Bargarh,147000000.0
LS333,Pradyut Bordoloi,Assam,Nowgong,98000000.0
LS334,Pralhad Venkatesh Joshi,Karnataka,Dharwad,147000000.0
LS335,Praniti Sushilkumar Shinde,Maharashtra,Solapur(Sc),147000000.0
LS336,Prasun Banerjee,West Bengal,Howrah,147000000.0
LS337,Pratap Chandra Sarangi,Odisha,Balasore,147064254.11
LS338,Prataprao Jadhav,Maharashtra,Buldhana,147000000.0
LS339,Pratima Mondal,West Bengal,Joynagar(Sc),147000000.0
LS340,Praveen Khandelwal,Delhi,Chandini Chowk,147470276.0
LS341,Praveen Patel,Uttar Pradesh,Phulpur,151559884.09
LS342,Priya Saroj,Uttar Pradesh,Machhlishahr(Sc),147000000.0
LS343,Priyanka Gandhi Vadra,Kerala,Wayanad,122500000.0
LS344,Priyanka Satish Jarkiholi,Karnataka,Chikkodi,147000000.0
LS345,Prof Sougata Ray,West Bengal,Dum Dum,147000000.0
LS346,Prof Sp Singh Baghel,Uttar Pradesh,Agra(Sc),147000000.0
LS347,Pushpendra Saroj,Uttar Pradesh,Kaushambi(Sc),147000000.0
LS348,Putta Mahesh Kumar,Andhra Pradesh,Eluru,147000000.0
LS349,R.K. Chaudhary,Uttar Pradesh,Mohanlalganj(Sc),147000000.0
LS350,Rabindra Narayan Behera,Odisha,Jajpur(Sc),147064617.11
LS351,Rachna Banerjee,West Bengal,Hooghly,147000000.0
LS352,Radha Mohan Singh,Bihar,Purvi Champaran,147000000.0
LS353,Radhakrishna,Karnataka,Gulbarga(Sc),147000000.0
LS354,Radhe Shyam Rathiya,Chhattisgarh,Raigarh(St),159706972.09
LS355,Rahul Gandhi,Uttar Pradesh,Rae Bareli,147000000.0
LS356,Rahul Kaswan,Rajasthan,Churu,147000000.0
LS357,Rahul Singh Lodhi,Madhya Pradesh,Damoh,163058785.37
LS358,Raj Bhushan Choudhary,Bihar,Muzaffarpur,147000000.0
LS359,Raj Kumar Roat,Rajasthan,Banswara(St),147000000.0
LS360,Raja Ram Singh,Bihar,Karakat,147000000.0
LS361,Rajabhau,Maharashtra,Nashik,152878682.11
LS362,Rajeev Bhardwaj,Himachal Pradesh,Kangra,179388967.11
LS363,Rajeev Rai,Uttar Pradesh,Ghosi,147000000.0
LS364,Rajesh Ranjan Alias Pappu Yadav,Bihar,Purnea,147000000.0
LS365,Rajesh Verma,Bihar,Khagaria,147000000.0
LS366,Rajeshbhai Naranbhai Chudasama,Gujarat,Junagadh,147000000.0
LS367,Rajiv Pratap Rudy,Bihar,Saran,147000000.0
LS368,Rajiv Ranjan (Lalan) Singh,Bihar,Munger,147000000.0
LS369,Rajkumar Chahar,Uttar Pradesh,Fatehpur Sikri,147000000.0
LS370,Rajnath Singh,Uttar Pradesh,Lucknow,154808797.11
LS371,Rajpalsinh Mahendrasinh Jadav,Gujarat,Panchmahal,147000000.0
LS372,Raju Bista,West Bengal,Darjeeling,147000000.0
LS373,Rakesh Rathor,Uttar Pradesh,Sitapur,147000000.0
LS374,Rakibul Hussain,Assam,Dhubri,147000000.0
LS375,Ram Prasad Chaudhary,Uttar Pradesh,Basti,204176957.11
