work_id,mp_id,mp_name,state,constituency,district,allocated_limit,work_category,work_description,implementing_agency,sanction_date,cost_sanctioned,expenditure,completion_date,status,synthetic_ground_truth_fraud,synthetic_issue_tags,record_source
W000040,LS003,Abhay Kumar Sinha,Bihar,Aurangabad_Br,Aurangabad_Br District,147000000.0,Health Sub-Centre Upgrade,Health Sub-Centre Upgrade in Aurangabad_Br District ward 15,Contractor Firm 2,2022-04-12,1211283.74,1026129.32,2022-10-17,In Progress,0,,SYNTHETIC_DEMO_DATA
W000041,LS003,Abhay Kumar Sinha,Bihar,Aurangabad_Br,Aurangabad_Br District,147000000.0,School Building Repair,School Building Repair in Aurangabad_Br District ward 3,Contractor Firm 15,2024-08-06,495273.77,416727.07,2025-03-07,In Progress,0,,SYNTHETIC_DEMO_DATA
W000042,LS003,Abhay Kumar Sinha,Bihar,Aurangabad_Br,Aurangabad_Br District,147000000.0,Anganwadi Centre Upgrade,Anganwadi Centre Upgrade in Aurangabad_Br District ward 1,Municipal Corp. Agency 4,2022-06-19,443710.84,431707.77,2022-12-23,Completed,0,,SYNTHETIC_DEMO_DATA
W000043,LS003,Abhay Kumar Sinha,Bihar,Aurangabad_Br,Aurangabad_Br District,147000000.0,Road Construction/Repair,Road Construction/Repair in Aurangabad_Br District ward 20,Contractor Firm 4,2022-10-05,1921681.29,1645057.51,2023-03-28,In Progress,0,,SYNTHETIC_DEMO_DATA
W000044,LS003,Abhay Kumar Sinha,Bihar,Aurangabad_Br,Aurangabad_Br District,147000000.0,Health Sub-Centre Upgrade,Health Sub-Centre Upgrade in Aurangabad_Br District ward 19,Cooperative Board Agency 7,2024-12-22,1055072.88,882082.02,2025-06-06,In Progress,0,,SYNTHETIC_DEMO_DATA
W000045,LS003,Abhay Kumar Sinha,Bihar,Aurangabad_Br,Aurangabad_Br District,147000000.0,Health Sub-Centre Upgrade,Health Sub-Centre Upgrade in Aurangabad_Br District ward 7,Contractor Firm 2,2024-09-22,606902.6,530970.24,2025-01-13,In Progress,0,,SYNTHETIC_DEMO_DATA
W000046,LS003,Abhay Kumar Sinha,Bihar,Aurangabad_Br,Aurangabad_Br District,147000000.0,Solar Street Lighting,Solar Street Lighting in Aurangabad_Br District ward 10,Contractor Firm 7,2023-04-17,352086.63,298584.47,2023-09-11,In Progress,0,,SYNTHETIC_DEMO_DATA
W000047,LS003,Abhay Kumar Sinha,Bihar,Aurangabad_Br,Aurangabad_Br District,147000000.0,Solar Street Lighting,Solar Street Lighting in Aurangabad_Br District ward 14,Contractor Firm 12,2024-10-19,292031.4,288199.95,2025-03-27,Completed,0,,SYNTHETIC_DEMO_DATA
W000048,LS003,Abhay Kumar Sinha,Bihar,Aurangabad_Br,Aurangabad_Br District,147000000.0,Library / Reading Room,Library / Reading Room in Aurangabad_Br District ward 18,Contractor Firm 17,2022-08-11,720134.3,561769.07,2023-03-26,In Progress,0,,SYNTHETIC_DEMO_DATA
W000049,LS003,Abhay Kumar Sinha,Bihar,Aurangabad_Br,Aurangabad_Br District,147000000.0,School Building Repair,School Building Repair in Aurangabad_Br District ward 15,Contractor Firm 5,2022-03-14,830659.41,728716.86,2022-09-25,In Progress,0,,SYNTHETIC_DEMO_DATA
W000050,LS003,Abhay Kumar Sinha,Bihar,Aurangabad_Br,Aurangabad_Br District,147000000.0,Anganwadi Centre Upgrade,Anganwadi Centre Upgrade in Aurangabad_Br District ward 6,Contractor Firm 12,2023-11-22,498695.23,398285.45,2024-03-01,In Progress,0,,SYNTHETIC_DEMO_DATA
W000051,LS003,Abhay Kumar Sinha,Bihar,Aurangabad_Br,Aurangabad_Br District,147000000.0,Crematorium/Cemetery Development,Crematorium/Cemetery Development in Aurangabad_Br District ward 8,Contractor Firm 12,2022-02-12,595450.98,505116.47,2022-08-25,In Progress,0,,SYNTHETIC_DEMO_DATA
W000052,LS004,Abhijit Gangopadhyay,West Bengal,Tamluk,Tamluk District,147000000.0,Community Hall Construction,Community Hall Construction in Tamluk District ward 3,Contractor Firm 5,2024-07-13,1052925.37,917284.39,2024-12-22,In Progress,0,,SYNTHETIC_DEMO_DATA
W000053,LS004,Abhijit Gangopadhyay,West Bengal,Tamluk,Tamluk District,147000000.0,Public Toilet Complex,Public Toilet Complex in Tamluk District ward 8,State PSU Agency 5,2021-01-12,307914.49,284615.45,2021-06-10,Completed,0,,SYNTHETIC_DEMO_DATA
W000054,LS004,Abhijit Gangopadhyay,West Bengal,Tamluk,Tamluk District,147000000.0,Drinking Water Facility,Drinking Water Facility in Tamluk District ward 17,Contractor Firm 5,2022-05-26,655989.7,518919.37,2022-12-19,In Progress,0,,SYNTHETIC_DEMO_DATA
W000055,LS004,Abhijit Gangopadhyay,West Bengal,Tamluk,Tamluk District,147000000.0,Drinking Water Facility,Drinking Water Facility in Tamluk District ward 18,Contractor Firm 10,2023-06-26,501993.64,426596.98,2024-02-07,In Progress,0,,SYNTHETIC_DEMO_DATA
W000056,LS004,Abhijit Gangopadhyay,West Bengal,Tamluk,Tamluk District,147000000.0,Public Toilet Complex,Public Toilet Complex in Tamluk District ward 18,Contractor Firm 5,2023-08-31,485807.51,474821.35,2024-04-08,Completed,0,,SYNTHETIC_DEMO_DATA
W000057,LS004,Abhijit Gangopadhyay,West Bengal,Tamluk,Tamluk District,147000000.0,Sports Facility Development,Sports Facility Development in Tamluk District ward 17,Contractor Firm 6,2022-07-17,677172.32,621566.08,2022-12-06,In Progress,0,,SYNTHETIC_DEMO_DATA
W000058,LS004,Abhijit Gangopadhyay,West Bengal,Tamluk,Tamluk District,147000000.0,Sports Facility Development,Sports Facility Development in Tamluk District ward 11,Contractor Firm 8,2021-11-05,516548.71,412064.9,2022-04-20,In Progress,0,,SYNTHETIC_DEMO_DATA
W000059,LS004,Abhijit Gangopadhyay,West Bengal,Tamluk,Tamluk District,147000000.0,School Building Repair,School Building Repair in Tamluk District ward 14,Contractor Firm 4,2023-08-13,715391.94,610081.89,2024-02-23,In Progress,0,,SYNTHETIC_DEMO_DATA
W000060,LS004,Abhijit Gangopadhyay,West Bengal,Tamluk,Tamluk District,147000000.0,Health Sub-Centre Upgrade,Health Sub-Centre Upgrade in Tamluk District ward 19,Contractor Firm 13,2024-03-25,632575.92,496127.42,2024-11-03,In Progress,0,,SYNTHETIC_DEMO_DATA
W000061,LS004,Abhijit Gangopadhyay,West Bengal,Tamluk,Tamluk District,147000000.0,Health Sub-Centre Upgrade,Health Sub-Centre Upgrade in Tamluk District ward 13,Contractor Firm 18,2023-05-09,934140.93,911872.08,2023-10-14,Completed,0,,SYNTHETIC_DEMO_DATA
W000062,LS004,Abhijit Gangopadhyay,West Bengal,Tamluk,Tamluk District,147000000.0,Anganwadi Centre Upgrade,Anganwadi Centre Upgrade in Tamluk District ward 8,Contractor Firm 6,2023-06-12,575548.04,476710.76,2023-11-30,In Progress,0,,SYNTHETIC_DEMO_DATA
W000063,LS004,Abhijit Gangopadhyay,West Bengal,Tamluk,Tamluk District,147000000.0,Sports Facility Development,Sports Facility Development in Tamluk District ward 13,Contractor Firm 14,2023-08-16,539660.65,440530.3,2023-12-24,In Progress,0,,SYNTHETIC_DEMO_DATA
W000064,LS004,Abhijit Gangopadhyay,West Bengal,Tamluk,Tamluk District,147000000.0,Road Construction/Repair,Road Construction/Repair in Tamluk District ward 19,Contractor Firm 9,2021-06-21,3250667.24,3009662.6,2021-10-25,Completed,0,,SYNTHETIC_DEMO_DATA
W000065,LS004,Abhijit Gangopadhyay,West Bengal,Tamluk,Tamluk District,147000000.0,Crematorium/Cemetery Development,Crematorium/Cemetery Development in Tamluk District ward 9,Contractor Firm 3,2023-07-21,435433.76,370997.22,2024-02-22,In Progress,0,,SYNTHETIC_DEMO_DATA
W000066,LS005,Abu Taher Khan,West Bengal,Murshidabad,Murshidabad District,147000000.0,Health Sub-Centre Upgrade,Health Sub-Centre Upgrade in Murshidabad District ward 3,Contractor Firm 6,2024-01-10,807120.21,632995.58,2024-09-07,In Progress,0,,SYNTHETIC_DEMO_DATA
W000067,LS005,Abu Taher Khan,West Bengal,Murshidabad,Murshidabad District,147000000.0,Community Hall Construction,Community Hall Construction in Murshidabad District ward 2,Contractor Firm 15,2022-05-22,1553985.03,1222716.76,2022-11-14,In Progress,0,,SYNTHETIC_DEMO_DATA
W000068,LS005,Abu Taher Khan,West Bengal,Murshidabad,Murshidabad District,147000000.0,School Building Repair,School Building Repair in Murshidabad District ward 16,Contractor Firm 12,2022-03-23,1019222.92,820643.31,2022-11-03,In Progress,0,,SYNTHETIC_DEMO_DATA
W000069,LS005,Abu Taher Khan,West Bengal,Murshidabad,Murshidabad District,147000000.0,Sports Facility Development,Sports Facility Development in Murshidabad District ward 20,Contractor Firm 14,2021-12-02,846352.42,793911.23,2022-06-16,Completed,0,,SYNTHETIC_DEMO_DATA
W000070,LS005,Abu Taher Khan,West Bengal,Murshidabad,Murshidabad District,147000000.0,Drainage System,Drainage System in Murshidabad District ward 13,Contractor Firm 3,2022-02-11,433558.01,427975.31,2022-07-11,Completed,0,,SYNTHETIC_DEMO_DATA
W000071,LS005,Abu Taher Khan,West Bengal,Murshidabad,Murshidabad District,147000000.0,Drinking Water Facility,Drinking Water Facility in Murshidabad District ward 10,Contractor Firm 18,2021-09-05,503707.5,468718.46,2022-03-20,Completed,0,,SYNTHETIC_DEMO_DATA
W000072,LS005,Abu Taher Khan,West Bengal,Murshidabad,Murshidabad District,147000000.0,Public Toilet Complex,Public Toilet Complex in Murshidabad District ward 12,Zilla Parishad Agency 3,2022-11-30,476457.4,424671.9,2023-08-06,In Progress,0,,SYNTHETIC_DEMO_DATA
W000073,LS005,Abu Taher Khan,West Bengal,Murshidabad,Murshidabad District,147000000.0,Community Hall Construction,Community Hall Construction in Murshidabad District ward 12,Contractor Firm 11,2023-07-31,1262665.48,1232546.49,2024-01-25,Completed,0,,SYNTHETIC_DEMO_DATA
W000074,LS005,Abu Taher Khan,West Bengal,Murshidabad,Murshidabad District,147000000.0,Library / Reading Room,Library / Reading Room in Murshidabad District ward 9,Contractor Firm 10,2024-01-08,421032.07,403266.12,2024-09-14,Completed,0,,SYNTHETIC_DEMO_DATA
W000075,LS005,Abu Taher Khan,West Bengal,Murshidabad,Murshidabad District,147000000.0,Sports Facility Development,Sports Facility Development in Murshidabad District ward 11,Contractor Firm 18,2021-06-27,796211.64,664047.62,2021-08-28,In Progress,0,,SYNTHETIC_DEMO_DATA
W000076,LS005,Abu Taher Khan,West Bengal,Murshidabad,Murshidabad District,147000000.0,Drainage System,Drainage System in Murshidabad District ward 20,Contractor Firm 12,2021-02-28,833693.91,719792.69,2021-10-02,In Progress,0,,SYNTHETIC_DEMO_DATA
W000077,LS005,Abu Taher Khan,West Bengal,Murshidabad,Murshidabad District,147000000.0,Sports Facility Development,Sports Facility Development in Murshidabad District ward 9,Contractor Firm 1,2024-05-05,940750.05,791664.56,2024-11-04,In Progress,0,,SYNTHETIC_DEMO_DATA
W000078,LS005,Abu Taher Khan,West Bengal,Murshidabad,Murshidabad District,147000000.0,Library / Reading Room,Library / Reading Room in Murshidabad District ward 7,Zilla Parishad Agency 3,2023-04-13,749025.44,624011.85,2023-09-26,In Progress,0,,SYNTHETIC_DEMO_DATA
W000079,LS005,Abu Taher Khan,West Bengal,Murshidabad,Murshidabad District,147000000.0,Sports Facility Development,Sports Facility Development in Murshidabad District ward 16,Contractor Firm 5,2021-07-10,828325.66,790591.47,2022-01-10,Completed,0,,SYNTHETIC_DEMO_DATA
W000080,LS005,Abu Taher Khan,West Bengal,Murshidabad,Murshidabad District,147000000.0,Drainage System,Drainage System in Murshidabad District ward 19,Contractor Firm 2,2023-12-24,487040.69,430601.11,2024-03-23,In Progress,0,,SYNTHETIC_DEMO_DATA
W000081,LS005,Abu Taher Khan,West Bengal,Murshidabad,Murshidabad District,147000000.0,Solar Street Lighting,Solar Street Lighting in Murshidabad District ward 15,PWD Agency 9,2022-04-18,314345.2,266394.06,2022-10-05,In Progress,0,,SYNTHETIC_DEMO_DATA
W000082,LS005,Abu Taher Khan,West Bengal,Murshidabad,Murshidabad District,147000000.0,Drinking Water Facility,Drinking Water Facility in Murshidabad District ward 6,Cooperative Board Agency 7,2023-09-19,622819.05,515447.93,2024-04-02,In Progress,0,,SYNTHETIC_DEMO_DATA
W000083,LS005,Abu Taher Khan,West Bengal,Murshidabad,Murshidabad District,147000000.0,Drainage System,Drainage System in Murshidabad District ward 10,Municipal Corp. Agency 4,2022-08-30,766799.82,738564.9,2023-05-03,Completed,0,,SYNTHETIC_DEMO_DATA
W000084,LS005,Abu Taher Khan,West Bengal,Murshidabad,Murshidabad District,147000000.0,School Building Repair,School Building Repair in Murshidabad District ward 5,PWD Agency 9,2021-04-22,790190.72,624261.3,2021-09-25,In Progress,0,,SYNTHETIC_DEMO_DATA
W000085,LS005,Abu Taher Khan,West Bengal,Murshidabad,Murshidabad District,147000000.0,Anganwadi Centre Upgrade,Anganwadi Centre Upgrade in Murshidabad District ward 16,Municipal Corp. Agency 4,2024-03-21,415557.69,403921.39,2024-08-11,Completed,0,,SYNTHETIC_DEMO_DATA
W000086,LS006,Adhikari Soumendu,West Bengal,Kanthi,Kanthi District,147000000.0,Sports Facility Development,Sports Facility Development in Kanthi District ward 16,Municipal Corp. Agency 4,2023-04-01,681991.43,655302.0,2023-09-05,Completed,0,,SYNTHETIC_DEMO_DATA
W000087,LS006,Adhikari Soumendu,West Bengal,Kanthi,Kanthi District,147000000.0,Sports Facility Development,Sports Facility Development in Kanthi District ward 5,Contractor Firm 16,2022-09-15,486120.37,439367.6,2023-04-24,In Progress,0,,SYNTHETIC_DEMO_DATA
W000088,LS006,Adhikari Soumendu,West Bengal,Kanthi,Kanthi District,147000000.0,Drinking Water Facility,Drinking Water Facility in Kanthi District ward 20,Contractor Firm 10,2022-04-08,741839.35,707687.28,2022-10-19,Completed,0,,SYNTHETIC_DEMO_DATA
W000089,LS006,Adhikari Soumendu,West Bengal,Kanthi,Kanthi District,147000000.0,Anganwadi Centre Upgrade,Anganwadi Centre Upgrade in Kanthi District ward 19,Contractor Firm 4,2024-06-25,412066.81,349096.27,2024-11-28,In Progress,0,,SYNTHETIC_DEMO_DATA
W000090,LS006,Adhikari Soumendu,West Bengal,Kanthi,Kanthi District,147000000.0,Community Hall Construction,Community Hall Construction in Kanthi District ward 7,Contractor Firm 11,2024-09-14,1358520.25,1122715.83,2025-04-05,In Progress,0,,SYNTHETIC_DEMO_DATA
W000091,LS006,Adhikari Soumendu,West Bengal,Kanthi,Kanthi District,147000000.0,Drinking Water Facility,Drinking Water Facility in Kanthi District ward 1,Contractor Firm 4,2024-05-01,325820.56,286432.38,2024-11-01,In Progress,0,,SYNTHETIC_DEMO_DATA
W000092,LS006,Adhikari Soumendu,West Bengal,Kanthi,Kanthi District,147000000.0,Sports Facility Development,Sports Facility Development in Kanthi District ward 15,Zilla Parishad Agency 3,2022-06-26,708270.28,659558.76,2023-02-04,Completed,0,,SYNTHETIC_DEMO_DATA
W000093,LS006,Adhikari Soumendu,West Bengal,Kanthi,Kanthi District,147000000.0,Crematorium/Cemetery Development,Crematorium/Cemetery Development in Kanthi District ward 4,Contractor Firm 8,2021-11-02,497049.4,412281.64,2022-03-30,In Progress,0,,SYNTHETIC_DEMO_DATA
W000094,LS006,Adhikari Soumendu,West Bengal,Kanthi,Kanthi District,147000000.0,Drainage System,Drainage System in Kanthi District ward 10,Contractor Firm 10,2024-03-11,748105.13,706787.81,2024-08-23,Completed,0,,SYNTHETIC_DEMO_DATA
W000095,LS006,Adhikari Soumendu,West Bengal,Kanthi,Kanthi District,147000000.0,Drainage System,Drainage System in Kanthi District ward 13,PWD Agency 9,2023-10-09,590445.4,525557.74,2024-03-19,In Progress,0,,SYNTHETIC_DEMO_DATA
W000096,LS006,Adhikari Soumendu,West Bengal,Kanthi,Kanthi District,147000000.0,Sports Facility Development,Sports Facility Development in Kanthi District ward 11,Contractor Firm 10,2021-07-07,539321.2,450376.85,2021-10-29,In Progress,0,,SYNTHETIC_DEMO_DATA
W000097,LS006,Adhikari Soumendu,West Bengal,Kanthi,Kanthi District,147000000.0,School Building Repair,School Building Repair in Kanthi District ward 1,Contractor Firm 15,2022-07-06,1194513.92,1108391.79,2023-01-15,Completed,0,,SYNTHETIC_DEMO_DATA
